,Clean_Text,place.country,coordinates,compound,type
6186,good ris no coconut as far i can tell subtle almond pretty good as it warms thanks jorge a   drinking a sea of hell by 18thstreetbrew  gonzos galactic ale asylum   ,United States,"[[-91.51308, 36.970298], [-87.019935, 36.970298], [-87.019935, 42.508303], [-91.51308, 42.508303]]",0.7351,Positive
6189,jasonsmithmo not in trumps case he acts only for himself the governed want an expansion of obamacare the governed want to end citizens united amp end the criminal removal of children of asylum seekers resist,United States,"[[-94.733122, 38.868002], [-94.3854414, 38.868002], [-94.3854414, 39.332095], [-94.733122, 39.332095]]",0.0,Neutral
6190,antlerantler first two seasons were solid asylum was my fave coven was okay i lost interest after that ,United States,"[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]",0.7269,Positive
6191,asy asy has included in its featured shows this week monica lundys deviance  women in the asylum during the fascist regime on view at nancy toomey fine a nancytoomey mnstproject through october 13 see the exhibition on asy here ,United States,"[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]",-0.4215,Negative
6198,fsuwarpath maddow it is not illegal to seek asylum,United States,"[[-80.177251, 26.7854133], [-80.065807, 26.7854133], [-80.065807, 26.8962], [-80.177251, 26.8962]]",0.4449,Positive
6200,in addition to 135 million taken from charity cancer research  traitor trump also is taking 30 million dollars from fema and the coast guard for ice to build internment camps and childrens cages for immigrants seeking asylum ,United States,"[[-80.907965, 27.180825], [-80.725729, 27.180825], [-80.725729, 27.279804], [-80.907965, 27.279804]]",-0.3818,Negative
6202,seeking asylum is not a crime we cannot continue to treat vulnerable communities like this heres the phone numbers to senronjohnsons offices 414 2767282 920 2307250 608 2409629 202 2245323 ,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",0.2942,Positive
6203,realpatriot23 stormbastille timw3811 mypug4president sarahwaugh20 teasippingbarb agreeplay shirredeemable jdw714 guagelester deeppopq joeybaker09 lexus6504 amluvinit2 gopistreasonous buddhakatze rabamary fasteddyto abillionshivas tomzbhappy qanonisfake mclogic78 clausphanta rhondathecat havokhawk 42gnome randallpink17 buffyfunk zrx2coinbase angryandasian mykniyk stacydalessand3 drdebrajkenned2 lgbtresistance hubbinssaint elizabethbryso5 stellafactor zoneqone misscalliecat poersure mrmario1 hackdz mregan1002 mrsperrin tinostuff rileypresident kona2tx 104sonador catcatdean badgerczar you cannot seek asylum without entering the country,United States,"[[-85.545696, 39.786807], [-85.519398, 39.786807], [-85.519398, 39.805217], [-85.545696, 39.805217]]",0.0,Neutral
6204,if event gangs of harmless migrants asylum seekers immigrants are so dangerous you need to impo a police force id say your immigration stance needs to change ,United States,"[[-122.867581, 45.426386], [-122.743577, 45.426386], [-122.743577, 45.543398], [-122.867581, 45.543398]]",-0.4572,Negative
6205,realdonaldtrump now return the little children to their parents that are looking for asylum in our country usathis is directed to the moron idiot potus,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",-0.7579,Negative
6206,realdonaldtrump where in america are the 1500 asylum kids you lost,United States,"[[-83.353955, 32.04683], [-78.499301, 32.04683], [-78.499301, 35.215449], [-83.353955, 35.215449]]",-0.3182,Negative
6207,npr enough of this charade vote now and swear him in tomorrowwhy do senate republicans continue to allow senatedems inmates to run the asylum,United States,"[[-93.3184, 44.640924], [-93.156249, 44.640924], [-93.156249, 44.717832], [-93.3184, 44.717832]]",0.1779,Positive
6208,adidas983  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
6209,so inspired by the resilience and spirit of asylum seekers and refugees thank you notoure for all you do here in san diego  consider donating here ,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",0.7713,Positive
6210,mayor billpeduto welcomes people seeking asylum in pittsburgh business engineering legal expes and more from turkey have arrived in citypgh their new home ,United States,"[[-80.001855, 40.439178], [-80.001855, 40.439178], [-80.001855, 40.439178], [-80.001855, 40.439178]]",0.4939,Positive
6212,this job might be a great fit for you barista  store 07306 city place asylum street  haford ct hiring careerarc,United States,"[[-72.718386, 41.723759], [-72.643547, 41.723759], [-72.643547, 41.807475], [-72.718386, 41.807475]]",0.765,Positive
6213,best ahs1 murder house2 coven3 asylum4 hotel5 freak show6 cult just staing it 7 roanoke was just trash,United States,"[[-97.308376, 29.0779492], [-97.2638566, 29.0779492], [-97.2638566, 29.143495], [-97.308376, 29.143495]]",-0.5267,Negative
6214,runaway train by soul asylum siri send tweet,United States,"[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]",0.0,Neutral
6215,asylum on saturday hmu,United States,"[[-112.140767, 40.6770673], [-112.057613, 40.6770673], [-112.057613, 40.7188122], [-112.140767, 40.7188122]]",0.0,Neutral
6216,laurenbeauchamp asylum is good,United States,"[[-97.308376, 29.0779492], [-97.2638566, 29.0779492], [-97.2638566, 29.143495], [-97.308376, 29.143495]]",0.4404,Positive
6217,food truck rally trick or treat live music silent disco all at an old asylum need we say morelinkinbio thevillagetc halloween oldasylum  the village at grand traverse commons ,United States,"[[-85.654331, 44.6975367], [-85.543799, 44.6975367], [-85.543799, 44.821578], [-85.654331, 44.821578]]",0.6705,Positive
6218,alyssamilano hoydallas our malctx vice chair repmarygonzalez has been leading the effo in txlege to investigate these and other problems created by the trump administrations separation asylum seekers from their children  please visit with mary,United States,"[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]",0.1531,Positive
6220,discusspw the psych ward outfit was perfect esp because at the time the impact zone was called asylum and it was the era where the inmates ran the company,United States,"[[-118.280798, 34.6309445], [-118.045755, 34.6309445], [-118.045755, 34.740709], [-118.280798, 34.740709]]",0.5719,Positive
6222,izzy4el realjameswoods not for aboion but go ahead and make assumptions asylum seekers at the border had their babies ripped from their arms and put in cages thats a trump fact justify the corrupt republicans thats on you,United States,"[[-118.8297529, 34.222878], [-118.6330454, 34.222878], [-118.6330454, 34.311743], [-118.8297529, 34.311743]]",0.0,Neutral
6223,gtathoughts eatit416 bmmmitchell mordrig1 markmontague99 torontostar you think 8 billion people want to come to canada as asylum seekers ,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",0.0772,Positive
6224,zeta12364 icegov the vast majority of illegal entry is for economic reasons and fleeing crime the us code does not grant asylum to either but you can immigrate if you are a political or religiously persecuted like christians in muslim countries than come via our asylum laws come the legal way,United States,"[[-97.928935, 30.127892], [-97.5805133, 30.127892], [-97.5805133, 30.5187994], [-97.928935, 30.5187994]]",-0.1913,Negative
6225,littleelvis40 lick it upanimalizeasylumcrazy nightshot in the shade that era seems like a totally different band no question that some great albums came out of that decade tho no makeup needed,United States,"[[-80.1427666, 36.035126], [-80.024666, 36.035126], [-80.024666, 36.190495], [-80.1427666, 36.190495]]",0.3965,Positive
6228,baileelliott just rewatched murder house and asylum too fucking good,United States,"[[-77.362653, 34.712551], [-77.285071, 34.712551], [-77.285071, 34.7846156], [-77.362653, 34.7846156]]",-0.3626,Negative
6230,jeff sessions could keep asylum seekers in mandatory detention ,United States,"[[-73.727776, 40.950918], [-71.786994, 40.950918], [-71.786994, 42.050588], [-73.727776, 42.050588]]",-0.296,Negative
6232,rudeape06 except asylum is like my second favorite season ,United States,"[[-81.046876, 35.001706], [-80.646695, 35.001706], [-80.646695, 35.416412], [-81.046876, 35.416412]]",0.6705,Positive
6233,join me tonight as i go back in time and continue playing batman arkham asylum at 7pm mst on twitch join me at  streaming streamer batmanarkhamasylum batman gamer,United States,"[[-105.214417, 39.783802], [-105.0419599, 39.783802], [-105.0419599, 39.856611], [-105.214417, 39.856611]]",0.6369,Positive
6234,realdonaldtrump dems are not obstructing no dem whats an open border or are using this issue for votes that is a lie there is no need for a wall amp people seeking asylum have rights amp are not criminals no dem wants criminals to come from other countries we are americans and want safe lives,United States,"[[-85.899573, 38.115961], [-85.819411, 38.115961], [-85.819411, 38.179222], [-85.899573, 38.179222]]",0.9163,Positive
6235,despite the refugee cap of 45000 4the current fiscal year which ends sept 30 the us is on track 2welcome less than 22000 refugees 2cut off protection 4many who r fleeing persecution contradicts who we are as a nation ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",-0.34,Negative
6236,does he suppo dreamers or not does he suppo more asylum judges or not detaining children as a policy to keep their parents away or not just saying ksleg savekansas bluewave ,United States,"[[-102.051769, 36.9931101], [-94.588081, 36.9931101], [-94.588081, 40.003282], [-102.051769, 40.003282]]",0.0,Neutral
6237,stewamaclean4 mordrig1 richardpk1 torontostar i said 5080 many times this is standard for asylum application stream,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",0.0,Neutral
6238,us reality the clowns are trying to create their asylum ,United States,"[[-71.403412, 42.24214], [-71.305249, 42.24214], [-71.305249, 42.329027], [-71.403412, 42.329027]]",0.2732,Positive
6241,stewamaclean4 mordrig1 richardpk1 torontostar youre basically claiming that asylum claimants have a 99 success rate which is absurd,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",0.5719,Positive
6242,stewamaclean4 mordrig1 richardpk1 torontostar they are processed upon arrival as asylum claimants not as legitimate if you think ircc could process 32000 asylum seekers in this amount of time youre clearly confused it takes ircc 12 years to process a simple spousal sponsorship app which is far less complex,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",0.1027,Positive
6244,my uber driver was from venezuela here for political asylum after her uncle was kidnapped and murdered she has to send cash and medicine to her parents until the escape to brazilremember how founate you are,United States,"[[-83.200169, 39.832013], [-82.7713751, 39.832013], [-82.7713751, 40.157354], [-83.200169, 40.157354]]",-0.5719,Negative
6245,stewamaclean4 mordrig1 richardpk1 torontostar youre reading this aicle wrong 32000 have arrived and have not received an outcome on their asylum claim it can take years to hear all claims and file formal apps im not a laymen in this regard i work in this field they cannot process 32000 asylum claims in 1 year,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",-0.4767,Negative
6247,joelhashtagking i personally didnt like asylum like that but that song was lit dominique nique nique ,United States,"[[-81.350571, 28.610836], [-81.2861241, 28.610836], [-81.2861241, 28.6979809], [-81.350571, 28.6979809]]",-0.2755,Negative
6248,richardpk1 mordrig1 torontostar depoation is used only after they do not leave voluntarily the other thousands of asylum seekers are still being processed it can take months or years to get a result,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",0.0382,Neutral
6249,stewamaclean4 mordrig1 torontostar youre confused 32000 asylum seekers have arrived in canada different than refugee stream  and they have not been processed just arrived asylum seekers can only apply in canada and apps are processed on case by case basis and can take months or years,United States,"[[-70.346323, 43.640514], [-70.238767, 43.640514], [-70.238767, 43.75186], [-70.346323, 43.75186]]",-0.3182,Negative
6250,i took a still from londonfashionweek s snapchat and made a meme of it because this ridiculous outfit needed to be made fun of  memes fashionmeme fashionfail fashion  ,United States,"[[-76.5533209, 38.941032], [-76.468263, 38.941032], [-76.468263, 38.9989], [-76.5533209, 38.9989]]",0.1091,Positive
6252,1776stonewall joy behar maxine waters nancy pelosi  adam shiff senator spaacus  etc etc   they really could sta there own insane asylum ,United States,"[[-80.150642, 25.9373697], [-80.12375, 25.9373697], [-80.12375, 25.9748652], [-80.150642, 25.9748652]]",0.2732,Positive
6256,userbits mine 7  hotel6  freakshow 5  cult 4  roanoke3  coven 2  asylum1  murder houseahsapocalypse  ahs ,United States,"[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]",-0.6908,Negative
6259,yes overwhelmedthe country is overwhelmedevantually when you keep trying to be nice and allow everyone inyou get overwhelmed  ,United States,"[[-80.20811, 26.080935], [-80.0902351, 26.080935], [-80.0902351, 26.219801], [-80.20811, 26.219801]]",0.765,Positive
6260,sunsentinel you seemingly can fly without a pilot license anywaylook at the castronova crash last weeknobody checks credsis it a stretch that a student would steal a plane  this is worse than folks entering the border illegallya plane is more deadly than children seeking asylum,United States,"[[-80.173447, 26.476484], [-80.05236, 26.476484], [-80.05236, 26.5904875], [-80.173447, 26.5904875]]",-0.8402,Negative
6261,dragonrift i saw still havent reached it in my playthrough that mission and was like when did we sta playing arkham asylum and why is scarecrow in spiderman,United States,"[[-66.125093, 18.29645], [-65.991643, 18.29645], [-65.991643, 18.471881], [-66.125093, 18.471881]]",0.2969,Positive
6262,one disgruntled lunatic because she is not controlling the asylum lock her up ,United States,"[[-72.557247, 42.6969837], [-70.575095, 42.6969837], [-70.575095, 45.305476], [-72.557247, 45.305476]]",-0.4939,Negative
6263,ndrewlawrence the lunatics are running the asylum,United States,"[[-78.465848, 38.097127], [-78.415379, 38.097127], [-78.415379, 38.146408], [-78.465848, 38.146408]]",-0.3818,Negative
6273,i cant believe shes a professor of psychology no wonder things are so screwed up talk about the patients running the asylum ,United States,"[[-84.8203089, 38.403186], [-80.518626, 38.403186], [-80.518626, 42.327133], [-84.8203089, 42.327133]]",-0.7443,Negative
6274,yikes  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
6277,foxnews listen to me you go give money to iran sometimes you should think maybe the iranian government would give you an asylum as their borders are open for liberals like you  or maybe you should let the kids of the government leadership of iran continue living next door to you dumb,United States,"[[-115.2092535, 35.984784], [-115.0610763, 35.984784], [-115.0610763, 36.137145], [-115.2092535, 36.137145]]",-0.2023,Negative
6278,lost them this is kidnapping and thats a felony whereas immigrants seeking asylum that cross border is a civil violation why arent the cous making them adhere to the ruling amp when did child kidnapping become legal ,United States,"[[-117.296536, 33.858759], [-117.139304, 33.858759], [-117.139304, 33.985089], [-117.296536, 33.985089]]",-0.8176,Negative
6279,iwantwhatheshaving welcometotheasylum theaestheticasylum thewhiskeydiaries abymatto acrylicmayhem burninhell  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
6280,jeanguerre divagourmet kpbsnews so legitimate asylum seekers got to stay locked up,United States,"[[-74.461178, 41.393907], [-74.374751, 41.393907], [-74.374751, 41.474306], [-74.461178, 41.474306]]",0.0,Neutral
6281,minitamale some of the seasons were great others not so much   top 3 asylum murderhouse hotel my roanoke nightmare,United States,"[[-71.5504625, 41.730422], [-71.377473, 41.730422], [-71.377473, 41.807454], [-71.5504625, 41.807454]]",0.5109,Positive
6282,come on scaggsville put your fucking pants on and get to fucking work obeytheescape obeyyourmaster  the aesthetic asylum ,United States,"[[-82.620093, 27.821353], [-82.2652945, 27.821353], [-82.2652945, 28.171836], [-82.620093, 28.171836]]",0.0,Neutral
6285,go back and watch asylum  ,United States,"[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]",0.0,Neutral
6287,the only thing i regret in life is the lack of pictures i took at the nohville insane asylum,United States,"[[-83.433894, 42.3524527], [-83.312805, 42.3524527], [-83.312805, 42.442178], [-83.433894, 42.442178]]",-0.7783,Negative
6288,found a photo of me and meng on musepaintbar s business page on the book of faces  datenight paintnight numberonewaifu  muse paintbar  gaithersburg ,United States,"[[-77.252801, 39.102707], [-77.1630643, 39.102707], [-77.1630643, 39.169487], [-77.252801, 39.169487]]",0.0,Neutral
6289,bigtimmaga mammalon trumptrain1998 cjdtwit golfinggary5222 ladyvi2u texaslo4ever donaldjtrumpjr these people havent broken any laws you are being duped into believing that they have they were seeking asylum from a country that was unsafe godseesandhearseverything,United States,"[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]",-0.0634,Negative
6290,by remaining in an unstable country with people being killed all around povey everywhere and few of any oppounities for improvement or by seeking asylum for both in what used to be the greatest country in the world sad ,United States,"[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]",-0.4404,Negative
6292,im sure if the asylum seekers are white christians they get through the process quite quickly ,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",0.3182,Positive
6293,olimpycs asylum and coven were those bitches  lets be real,United States,"[[-74.1442617, 40.088095], [-74.0866758, 40.088095], [-74.0866758, 40.127826], [-74.1442617, 40.127826]]",-0.5994,Negative
6294,minitamale oh i will argue  asylum by far the best,United States,"[[-71.5504625, 41.730422], [-71.377473, 41.730422], [-71.377473, 41.807454], [-71.5504625, 41.807454]]",0.4215,Positive
6295,0nlyalain i havent watched the new one yet im rewatching past seasons nothing beats asylum,United States,"[[-121.111943, 38.483635], [-121.061781, 38.483635], [-121.061781, 38.525125], [-121.111943, 38.525125]]",0.0,Neutral
6296,i feel like i was totally right to go with the kathy bates as an alien theory  especially since someone reminded me about the aliens from asylum  omg ahsapocalypse,United States,"[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]",0.3612,Positive
6297,katelynvando i liked asylum till they introduced the alien stuff i was like what why,United States,"[[-87.699649, 37.9239819], [-87.449732, 37.9239819], [-87.449732, 38.082951], [-87.699649, 38.082951]]",0.6486,Positive
6298,this is a problem that they were trying to tke care of because the country is not equipped to kep letting people in ,United States,"[[-80.20811, 26.080935], [-80.0902351, 26.080935], [-80.0902351, 26.219801], [-80.20811, 26.219801]]",0.128,Positive
6299,asylum is still better ahs,United States,"[[-76.334287, 36.820791], [-76.177085, 36.820791], [-76.177085, 36.969373], [-76.334287, 36.969373]]",0.4404,Positive
6300,murder house  asylum  amp hotel are the best ones besides coven  ,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",-0.128,Negative
6301,i honestly havent been this confused about ahs since asylum,United States,"[[-88.473228, 30.144425], [-84.888247, 30.144425], [-84.888247, 35.008029], [-88.473228, 35.008029]]",0.0964,Positive
6303,joshhsmith1991 fxnetworks ahsfx ahsleak ahsfxoficial ahs8apocalypse pnemiroff mssarahpaulson mrrpmurphy ahscentral my favorite season is murder house  i think the overall best season is asylum  so far im enjoying apocalypse   im interested to see what happens next week,United States,"[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]",0.8344,Positive
6304,us border to seek asylum and argued that the obama administration had the same policy,United States,"[[-96.85743, 32.9971507], [-96.612371, 32.9971507], [-96.612371, 33.1253341], [-96.85743, 33.1253341]]",-0.3612,Negative
6305,powerserge5 i liked the first 3 for sure amp roanoke asylum deff the scariest i couldnt get into hotel at all i stopped watching they added cult lowkey im going to binge that this weekend,United States,"[[-95.2594781, 29.759006], [-95.220339, 29.759006], [-95.220339, 29.7743399], [-95.2594781, 29.7743399]]",0.4939,Positive
6308,asylumcore2 teamcockroach tomarnold but there was an igloo too,United States,"[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]",0.0,Neutral
6309,enjoying a fantastic drvenom on this wibeerwednesday aleasylum ,United States,"[[-89.752893, 42.993218], [-89.702539, 42.993218], [-89.702539, 43.021079], [-89.752893, 43.021079]]",0.7906,Positive
6311,aclu mujerpescado whether theyre seeking asylum or not is irrelevant if theyre on us soil without a visa theyre here illegally theyre entitled to due process and representation but thats it theyre not entitled to bond or release follow the rules come here legally its that simple,United States,"[[-87.022482, 35.9945681], [-86.560616, 35.9945681], [-86.560616, 36.405448], [-87.022482, 36.405448]]",0.5859,Positive
6314,right in time to cover up that sessions is ramping up cruelty on asylum seekers watch what they do not what they say ,United States,"[[-90.137908, 29.889574], [-89.884108, 29.889574], [-89.884108, 30.075628], [-90.137908, 30.075628]]",-0.5994,Negative
6317,senatemajldr hey buddy youre in charge stop letting inmates run the asylum tell the dimokkkrats to get a credible liar or shut up amp vote how can you have a hearing with a plant who knows nothing of the crime suffered as a child how on eah can the fbi investigate nothing mueller,United States,"[[-111.921988, 40.45236], [-111.823749, 40.45236], [-111.823749, 40.544422], [-111.921988, 40.544422]]",-0.705,Negative
6318,paigelovesuk you really need to know the basis behind season 1 to get the idea watch season 3 to get a gist but i would just read an overview of 3 asylum is still the best season shrug,United States,"[[-85.847503, 38.108678], [-85.597188, 38.108678], [-85.597188, 38.282432], [-85.847503, 38.282432]]",0.7783,Positive
6319,as an irishabroad there are very few things i can day about my country that dont make me proud directprovision is top of of that list its abhorrent senseless and cruel let asylum seekers have dignity and let them work and contribute,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",-0.7878,Negative
6320,wink  aisans asylum ,United States,"[[-71.134552, 42.3727525], [-71.072892, 42.3727525], [-71.072892, 42.418052], [-71.134552, 42.418052]]",0.0,Neutral
6321,jnjkahl every single oneofthese people are sick in the couldgive each of them ten million dollars to live the rest oftheir life on and it wouldnever be enough 500 million wouldnot be enough they are allsick in the head and should be consigned to a lunatic asylum,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",-0.7579,Negative
6322,sessions moves to fuher tighten immigration cous as trump attacks him cnnpolitics ,United States,"[[-109.060257, 36.992427], [-102.041524, 36.992427], [-102.041524, 41.003445], [-109.060257, 41.003445]]",-0.4404,Negative
6323,sylviamtv they turned an old asylum into one up here extra creepy but i love stuff like that the nightmares are woh it,United States,"[[-124.848975, 45.543542], [-116.915989, 45.543542], [-116.915989, 49.0025023], [-124.848975, 49.0025023]]",0.8765,Positive
6324,ldaught2 johnnyb371 repmaxinewaters lock her up but it should probably be in an asylum although stupidity has made her rich maby not so crazy,United States,"[[-91.950333, 39.1341888], [-91.858394, 39.1341888], [-91.858394, 39.189833], [-91.950333, 39.189833]]",0.6596,Positive
6325,its between asylum and coven but i mean ahs is just all around amazing  ,United States,"[[-85.605166, 30.355644], [-80.742567, 30.355644], [-80.742567, 35.000771], [-85.605166, 35.000771]]",0.7351,Positive
6326,reason 1364 i cant be a democrat its like cracking the door to an asylum and being hit by the cacophony of insane babble ,United States,"[[-82.73371, 28.04581], [-82.668583, 28.04581], [-82.668583, 28.1733149], [-82.73371, 28.1733149]]",-0.0516,Negative
6327,kaywento rileysrilocn7 matthewjsinger tuckercarlson she does not because it is not pa of the narrative they dont understand that almost all of these cases were actually   legal asylum seekers and that what the administration did under zero tolerance was illegal they followed the law by legally presenting for asylum,United States,"[[-87.9943, 42.20041], [-87.898682, 42.20041], [-87.898682, 42.2696544], [-87.9943, 42.2696544]]",-0.128,Negative
6330,strawberryjamal asylum was shit baby,United States,"[[-79.0075886, 35.866334], [-78.783292, 35.866334], [-78.783292, 36.115631], [-79.0075886, 36.115631]]",-0.5574,Negative
6334,rickdubagner sascat patriciameeha17 rizfan anthony05007053 yeshualover1970 thinkresistx tina41014747 kneadinghands mindpollution3 laurenten serenaminton marjori87941817 jhwandall meliorist59 klaatu00556955 kfleitzkil wendytruong3 amysab1 janenehague jclare5269 edlorens nicollwtf notrollingover katethefx betterw05759703 grailsnail gzusscripes1 jeanlibby5 jorgelgarcia33 lilacsxgirl emotionalnews ladybuck44 trishcooper14 eofyork sterlingguns vampire6442014 donewithorange peabots13 yeropinion lucylouise1112 missvstmarie gigrape52 annaohlala rudylaagland bearwarrior jamster5068 realdonaldtrump washingtonpost no the ones seeking asylum  they stole their children thensent them back on their own to the countrys they fled out of fear for their lives and their childrens lives just gave away their children no receipts no way to reclaim them i just dont think sosos,United States,"[[-95.774704, 35.995476], [-89.098843, 35.995476], [-89.098843, 40.613641], [-95.774704, 40.613641]]",-0.8316,Negative
6337,mattpope1 melloniesorens1 nytimes being here illegally is a misdemeanor according to the immigration and naturalization act of 1965 people are generally not jailed or detained longterm for misdemeanors also for the 1000000th time many of these folks are seeking asylum,United States,"[[-80.282775, 26.089889], [-80.265788, 26.089889], [-80.265788, 26.1051956], [-80.282775, 26.1051956]]",0.5975,Positive
6340,beccaleal29 asylum,United States,"[[-95.87417, 29.7367727], [-95.774936, 29.7367727], [-95.774936, 29.8312188], [-95.87417, 29.8312188]]",0.0,Neutral
6341,senfeinstein abc7ellen and sta granting asylum visas,United States,"[[-118.043083, 33.720269], [-117.944373, 33.720269], [-117.944373, 33.774358], [-118.043083, 33.774358]]",0.3182,Positive
6342,behindthescenes with charlieberens of manitowocminute  keepermovin  ale asylum ,United States,"[[-92.889433, 42.491921], [-86.24955, 42.491921], [-86.24955, 47.309715], [-92.889433, 47.309715]]",0.0,Neutral
6344,saved the best one for last enjoy  carlos david taquito salas ourspecialboy worldsdumbestcriminals7  asylum skatepark ,United States,"[[-87.903832, 42.2877001], [-87.825943, 42.2877001], [-87.825943, 42.3414525], [-87.903832, 42.3414525]]",0.8807,Positive
6345,filmreview of asylum blackout aka the incident 2012 teena horrorfilmfanatic shareyourscares  atlanta georgia ,United States,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]",0.0,Neutral
6347,cammyakafinesse dom719 for real  i see asylum as a nice 2nd but we will see how this apocalypse season goes cause so far im enteained,United States,"[[-76.734394, 39.019327], [-76.643899, 39.019327], [-76.643899, 39.1032285], [-76.734394, 39.1032285]]",0.2263,Positive
6348,if wh occupant had same empathy for asylum seekers and immigrant babies as he does fellow sexual assualters maybe drumph world wouldnt be so bleak,United States,"[[-98.778559, 29.141956], [-98.302744, 29.141956], [-98.302744, 29.693046], [-98.778559, 29.693046]]",0.0,Neutral
6349,what s completely moronic remark if he understood the impact he would not have robbed fema money to build prisons still holding babies he kept snapped from parents seeking asylum from barbaric corrupt governments voting democrats is patriotic choice 2018 enough unfit trump gop ,United States,"[[-89.431339, 36.003989], [-89.315421, 36.003989], [-89.315421, 36.085264], [-89.431339, 36.085264]]",-0.6115,Negative
6350,murder house or asylum ,United States,"[[-84.576827, 33.6475029], [-84.289385, 33.6475029], [-84.289385, 33.8868859], [-84.576827, 33.8868859]]",-0.6908,Negative
6354,dannyhoonmo strmsptr hawleymo hughhewitt clairecmc many did  to seek asylum  still kidnappedlocked up and not protected,United States,"[[-90.398613, 38.544061], [-90.349347, 38.544061], [-90.349347, 38.573574], [-90.398613, 38.573574]]",-0.3412,Negative
6356,realdonaldtrump thank you for helping us we are not asylum seekers we are americans,United States,"[[-84.710722, 39.052962], [-84.3689026, 39.052962], [-84.3689026, 39.2211137], [-84.710722, 39.2211137]]",0.5719,Positive
6357,tonight ill be live on watchmixer playing a variety of games enter into the asylum after 8pm pstretweetmixer rsgretweet,United States,"[[-124.848975, 45.543542], [-116.915989, 45.543542], [-116.915989, 49.0025023], [-124.848975, 49.0025023]]",-0.25,Negative
6358,whos down to take on this wild adventure abandon asylum where people died at a lot of history there to find ,United States,"[[-75.487049, 39.7902759], [-75.4370635, 39.7902759], [-75.4370635, 39.818885], [-75.487049, 39.818885]]",-0.6369,Negative
6360,song of the day harmonic duet  asylum street spankers ,United States,"[[-119.248624, 34.101755], [-119.082154, 34.101755], [-119.082154, 34.262157], [-119.248624, 34.262157]]",0.4215,Positive
6363,if it wasnt for the gems in my life and the little things they do id probably have my own personal suite at an asylum thankyou realones,United States,"[[-80.3854773, 25.732128], [-80.351653, 25.732128], [-80.351653, 25.761752], [-80.3854773, 25.761752]]",0.0,Neutral
